code,level,type,localPrefix,name,postCode
63.09.07.2011,4,DESA,Desa,Kampung Baru,71573
63.09.07.2012,4,DESA,Desa,Salikung,71573
63.09.07.2013,4,DESA,Desa,Ribang,71573
63.09.07.2014,4,DESA,Desa,Sungai Kumap,71573
63.09.08,3,KECAMATAN,Kecamatan,Muara Harus,
63.09.08.2001,4,DESA,Desa,Madang,71555
63.09.08.2002,4,DESA,Desa,Tanta Ringin,71555
63.09.08.2003,4,DESA,Desa,Murung Karangan,71555
63.09.08.2004,4,DESA,Desa,Padangin,71555
63.09.08.2005,4,DESA,Desa,Manduin,71555
63.09.08.2006,4,DESA,Desa,Mantuil,71555
63.09.08.2007,4,DESA,Desa,Harus,71555
63.09.09,3,KECAMATAN,Kecamatan,Pugaan,
63.09.09.2001,4,DESA,Desa,Pugaan,71554
63.09.09.2002,4,DESA,Desa,Pampanan,71554
63.09.09.2003,4,DESA,Desa,Sungai Rukam II,71554
63.09.09.2004,4,DESA,Desa,Sungai Rukam I,71554
63.09.09.2005,4,DESA,Desa,Jirak,71554
63.09.09.2006,4,DESA,Desa,Halangan,71554
63.09.09.2007,4,DESA,Desa,Tamunti,71554
63.09.10,3,KECAMATAN,Kecamatan,Upau,
63.09.10.2001,4,DESA,Desa,Bilas,71575
63.09.10.2002,4,DESA,Desa,Kaong,71575
63.09.10.2003,4,DESA,Desa,Pangelak,71575
63.09.10.2004,4,DESA,Desa,Kinarum,71575
63.09.10.2005,4,DESA,Desa,Masingai II,71575
63.09.10.2006,4,DESA,Desa,Masingai I,71575
63.09.11,3,KECAMATAN,Kecamatan,Jaro,
63.09.11.2001,4,DESA,Desa,Teratau,71574
63.09.11.2002,4,DESA,Desa,Namun,71574
63.09.11.2003,4,DESA,Desa,Jaro,71574
63.09.11.2004,4,DESA,Desa,Solan,71574
63.09.11.2005,4,DESA,Desa,Muang,71574
63.09.11.2006,4,DESA,Desa,Lano,71574
63.09.11.2007,4,DESA,Desa,Purui,71574
63.09.11.2008,4,DESA,Desa,Garagata,71574
63.09.11.2009,4,DESA,Desa,Nalui,71574
63.09.12,3,KECAMATAN,Kecamatan,Bintang Ara,
63.09.12.2001,4,DESA,Desa,Waling,71572
63.09.12.2002,4,DESA,Desa,Usih,71572
63.09.12.2003,4,DESA,Desa,Bintang Ara,71572
63.09.12.2004,4,DESA,Desa,Burum,71572
63.09.12.2005,4,DESA,Desa,Panaan,71572
63.09.12.2006,4,DESA,Desa,Dambung Raya,71572
63.09.12.2007,4,DESA,Desa,Argo Mulyo,71572
63.09.12.2008,4,DESA,Desa,Bumi Makmur,71572
63.09.12.2009,4,DESA,Desa,Hegarmanah,71572
63.10,2,KABUPATEN,Kabupaten,Tanah Bumbu,
63.10.01,3,KECAMATAN,Kecamatan,Batu Licin,
63.10.01.1007,4,KELURAHAN,Kelurahan,Batulicin,72271
63.10.01.1028,4,KELURAHAN,Kelurahan,Gunungtinggi,72211
63.10.01.2005,4,DESA,Desa,Segumbang,72211
63.10.01.2006,4,DESA,Desa,Kersik Putih,72215
63.10.01.2029,4,DESA,Desa,Maju Makmur,72211
63.10.01.2030,4,DESA,Desa,Maju Bersama,72216
63.10.01.2031,4,DESA,Desa,Sukamaju,72217
63.10.01.2032,4,DESA,Desa,Polewali Marajae,72218
63.10.01.2033,4,DESA,Desa,Danauindah,72273
63.10.02,3,KECAMATAN,Kecamatan,Kusan Hilir,
63.10.02.1001,4,KELURAHAN,Kelurahan,Kota Pagatan,72273
63.10.02.2002,4,DESA,Desa,Betung,72273
63.10.02.2003,4,DESA,Desa,Sungai Lembu,72273
63.10.02.2004,4,DESA,Desa,Wiritasi,72273
63.10.02.2005,4,DESA,Desa,Pejala,72273
63.10.02.2006,4,DESA,Desa,Pagaruyung,72273
63.10.02.2007,4,DESA,Desa,Muara Pagatan Tengah,72273
63.10.02.2008,4,DESA,Desa,Kampung Baru,72273
63.10.02.2009,4,DESA,Desa,Pasar Baru,72273
63.10.02.2010,4,DESA,Desa,Batuah,72273
63.10.02.2011,4,DESA,Desa,Baru Gelang,72273
63.10.02.2012,4,DESA,Desa,Pulau Salak,72273
63.10.02.2013,4,DESA,Desa,Salimuran,72273
63.10.02.2014,4,DESA,Desa,Satiung,72273
63.10.02.2015,4,DESA,Desa,Saring Sungai Binjai,72273
63.10.02.2016,4,DESA,Desa,Pulau Tanjung,72273
63.10.02.2017,4,DESA,Desa,Batarang,72273
63.10.02.2018,4,DESA,Desa,Manurung,72273
63.10.02.2019,4,DESA,Desa,Mudalang,72273
63.10.02.2020,4,DESA,Desa,Tanette,72273
63.10.02.2021,4,DESA,Desa,Muara Pagatan,72273
63.10.02.2022,4,DESA,Desa,Pulau Satu,72273
63.10.02.2023,4,DESA,Desa,Sepunggur,72273
63.10.02.2024,4,DESA,Desa,Pakatellu,72273
63.10.02.2025,4,DESA,Desa,Saring S. Bubu,72273
63.10.02.2026,4,DESA,Desa,Serdangan,72273
63.10.02.2027,4,DESA,Desa,Juku Eja,72273
63.10.02.2028,4,DESA,Desa,Api-Api,72273
63.10.02.2029,4,DESA,Desa,Gusunge,72273
63.10.02.2030,4,DESA,Desa,Rantau Panjang Hulu,72273
63.10.02.2031,4,DESA,Desa,Penyolongan,72273
63.10.02.2032,4,DESA,Desa,Beringin,72273
63.10.02.2033,4,DESA,Desa,Mekar Jaya,72273
63.10.02.2034,4,DESA,Desa,Rantau Panjang Hilir,72273
63.10.02.2035,4,DESA,Desa,Upt. Karya Bakti,72273
63.10.03,3,KECAMATAN,Kecamatan,Sungai Loban,
63.10.03.2001,4,DESA,Desa,Sari Mulya,72274
63.10.03.2002,4,DESA,Desa,Sungailoban,72274
63.10.03.2003,4,DESA,Desa,Sebamban Lama,72274
63.10.03.2004,4,DESA,Desa,Sebamban Baru,72274
63.10.03.2005,4,DESA,Desa,Sungaidua Laut,72274
63.10.03.2006,4,DESA,Desa,Marga Mulya,72274
63.10.03.2007,4,DESA,Desa,Sari Utama,72274
63.10.03.2008,4,DESA,Desa,Tri Mulya,72274
63.10.03.2010,4,DESA,Desa,Dwi Marga Utama,72274
63.10.03.2011,4,DESA,Desa,Kerta Buana,72274
63.10.03.2012,4,DESA,Desa,Batu Meranti,72274
63.10.03.2014,4,DESA,Desa,Tri Martani,72274
63.10.03.2015,4,DESA,Desa,Sumber Makmur,72274
63.10.03.2016,4,DESA,Desa,Biduri Bersujud,72274
63.10.03.2017,4,DESA,Desa,Sumber Sari,72274
63.10.03.2018,4,DESA,Desa,Wanasari,72274
63.10.03.2019,4,DESA,Desa,Damar Indah,72274
63.10.04,3,KECAMATAN,Kecamatan,Satui,
63.10.04.2003,4,DESA,Desa,Setarap,72275
63.10.04.2004,4,DESA,Desa,Satui Timur,72275
63.10.04.2005,4,DESA,Desa,Sungaicuka,72275
63.10.04.2006,4,DESA,Desa,Jombang,72275
63.10.04.2008,4,DESA,Desa,Satui Barat,72275
63.10.04.2009,4,DESA,Desa,Sekapuk,72275
63.10.04.2010,4,DESA,Desa,Sungaidanau,72275
63.10.04.2011,4,DESA,Desa,Wonorejo,72275
63.10.04.2012,4,DESA,Desa,Sumber Makmur,72275
63.10.04.2013,4,DESA,Desa,Tegal Sari,72275
63.10.04.2019,4,DESA,Desa,Sumber Arum,72275
63.10.04.2022,4,DESA,Desa,Sejahtera Mulia,72275
63.10.04.2023,4,DESA,Desa,Al Kautsar,72275
63.10.04.2024,4,DESA,Desa,Makmur Mulia,72275
63.10.04.2025,4,DESA,Desa,Sinar Bulan,72275
63.10.04.2026,4,DESA,Desa,Pandamaran Jaya,72275
63.10.05,3,KECAMATAN,Kecamatan,Kusan Hulu,
63.10.05.2001,4,DESA,Desa,Lasung,72272
63.10.05.2002,4,DESA,Desa,Manuntung,72272
63.10.05.2003,4,DESA,Desa,Anjir Baru,72272
63.10.05.2004,4,DESA,Desa,Binawara,72272
63.10.05.2005,4,DESA,Desa,Pacakan,72272
63.10.05.2006,4,DESA,Desa,Guntung,72272
63.10.05.2007,4,DESA,Desa,Teluk Kepayang,72272
63.10.05.2008,4,DESA,Desa,Tapus,72272
63.10.05.2009,4,DESA,Desa,Mangkalapi,72272
63.10.05.2010,4,DESA,Desa,Hati'if,72272
63.10.05.2011,4,DESA,Desa,Timbarau Panjang,72272
63.10.05.2012,4,DESA,Desa,Sungai Rukam,72272
63.10.05.2013,4,DESA,Desa,Darasan Binjai,72272
63.10.05.2015,4,DESA,Desa,Bakarangan,72272
