code,level,type,localPrefix,name
12.22.02.2007,4,DESA,Desa,Teluk Panji
12.22.02.2008,4,DESA,Desa,Tanjung Medan
12.22.02.2009,4,DESA,Desa,Kampung Perlabian
12.22.02.2010,4,DESA,Desa,Tanjung Selamat
12.22.02.2011,4,DESA,Desa,Tanjung Mulia
12.22.02.2012,4,DESA,Desa,Teluk Panji I
12.22.02.2013,4,DESA,Desa,Teluk Panji II
12.22.02.2014,4,DESA,Desa,Teluk Panji III
12.22.02.2015,4,DESA,Desa,Teluk Panji IV
12.22.03,3,KECAMATAN,Kecamatan,Torgamba
12.22.03.2001,4,DESA,Desa,Bangai
12.22.03.2002,4,DESA,Desa,Rasau
12.22.03.2003,4,DESA,Desa,Teluk Rampah
12.22.03.2004,4,DESA,Desa,Pangarungan
12.22.03.2005,4,DESA,Desa,Bunut
12.22.03.2006,4,DESA,Desa,Aek Batu
12.22.03.2007,4,DESA,Desa,Pinang Damai
12.22.03.2008,4,DESA,Desa,Aek Raso
12.22.03.2009,4,DESA,Desa,Torgamba
12.22.03.2010,4,DESA,Desa,Asam Jawa
12.22.03.2011,4,DESA,Desa,Torganda
12.22.03.2012,4,DESA,Desa,Beringin Jaya
12.22.03.2013,4,DESA,Desa,Bukit Tujuh
12.22.03.2014,4,DESA,Desa,Sei Meranti
12.22.04,3,KECAMATAN,Kecamatan,Sungai Kanan
12.22.04.1001,4,KELURAHAN,Kelurahan,Langga Payung
12.22.04.2002,4,DESA,Desa,Batang Nadenggan
12.22.04.2003,4,DESA,Desa,Sabungan
12.22.04.2004,4,DESA,Desa,Hajoran
12.22.04.2005,4,DESA,Desa,Ujung Gading
12.22.04.2006,4,DESA,Desa,Huta Godang
12.22.04.2007,4,DESA,Desa,Parimburan
12.22.04.2008,4,DESA,Desa,Sampean
12.22.04.2009,4,DESA,Desa,Marsonja
12.22.05,3,KECAMATAN,Kecamatan,Silangkitang
12.22.05.2001,4,DESA,Desa,Mandalasena
12.22.05.2002,4,DESA,Desa,Binangadua
12.22.05.2003,4,DESA,Desa,Aek Goti
12.22.05.2004,4,DESA,Desa,Ulu Mahuam
12.22.05.2005,4,DESA,Desa,Rintis
12.22.05.2006,4,DESA,Desa,Sukadame
12.23,2,KABUPATEN,Kabupaten,Labuhanbatu Utara
12.23.01,3,KECAMATAN,Kecamatan,Kualuh Hulu
12.23.01.1001,4,KELURAHAN,Kelurahan,Aek Kanopan
12.23.01.1002,4,KELURAHAN,Kelurahan,Aek Kanopan Timur
12.23.01.2003,4,DESA,Desa,Kuala Beringin
12.23.01.2004,4,DESA,Desa,Parpaudangan
12.23.01.2005,4,DESA,Desa,Pulo Dogom
12.23.01.2006,4,DESA,Desa,Londut
12.23.01.2007,4,DESA,Desa,Perkebunan Kanopan Ulu
12.23.01.2008,4,DESA,Desa,Perkebunan Membang Muda
12.23.01.2009,4,DESA,Desa,Perkebunan Labuhan Haji
12.23.01.2010,4,DESA,Desa,Perkebunan Hanna
12.23.01.2011,4,DESA,Desa,Sonomartani
12.23.01.2012,4,DESA,Desa,Sukarame
12.23.01.2013,4,DESA,Desa,Sukarame Baru
12.23.02,3,KECAMATAN,Kecamatan,Kualuh Leidong
12.23.02.1001,4,KELURAHAN,Kelurahan,Tanjung Leidong
12.23.02.2002,4,DESA,Desa,Teluk Pulai Dalam
12.23.02.2003,4,DESA,Desa,Teluk Pulai Luar
12.23.02.2004,4,DESA,Desa,Kelapa Sebatang
12.23.02.2005,4,DESA,Desa,Simandulang
12.23.02.2006,4,DESA,Desa,Air Hitam
12.23.02.2007,4,DESA,Desa,Pangkalan Lunang
12.23.03,3,KECAMATAN,Kecamatan,Kualuh Hilir
12.23.03.1001,4,KELURAHAN,Kelurahan,Kampung Mesjid
12.23.03.2002,4,DESA,Desa,Kuala Bangka
12.23.03.2003,4,DESA,Desa,Sei Sentang
12.23.03.2004,4,DESA,Desa,Teluk Piai
12.23.03.2005,4,DESA,Desa,Tanjung Mangedar
12.23.03.2006,4,DESA,Desa,Teluk Binjai
12.23.03.2007,4,DESA,Desa,Sei Apung
12.23.04,3,KECAMATAN,Kecamatan,Aek Kuo
12.23.04.2001,4,DESA,Desa,Aek Korsik
12.23.04.2002,4,DESA,Desa,Bandar Selamat
12.23.04.2003,4,DESA,Desa,Perkebunan Padang Halaban
12.23.04.2004,4,DESA,Desa,Perkebunan Panigoran
12.23.04.2005,4,DESA,Desa,Sidomulyo
12.23.04.2006,4,DESA,Desa,Karang Anyar
12.23.04.2007,4,DESA,Desa,Padang Maninjau
12.23.04.2008,4,DESA,Desa,Purworejo
12.23.05,3,KECAMATAN,Kecamatan,Marbau
12.23.05.1001,4,KELURAHAN,Kelurahan,Marbau
12.23.05.2002,4,DESA,Desa,Perkebunan Pernantian
12.23.05.2003,4,DESA,Desa,Perkebunan Marbau Selatan
12.23.05.2004,4,DESA,Desa,Perkebunan Milano
12.23.05.2005,4,DESA,Desa,Perkebunan Brussel
12.23.05.2006,4,DESA,Desa,Pulo Bargot
12.23.05.2007,4,DESA,Desa,Sipare Pare Tengah
12.23.05.2008,4,DESA,Desa,Sipare Pare Hilir
12.23.05.2009,4,DESA,Desa,Tubiran
12.23.05.2010,4,DESA,Desa,Belongkut
12.23.05.2011,4,DESA,Desa,Simpang Empat
12.23.05.2012,4,DESA,Desa,Babussalam
12.23.05.2013,4,DESA,Desa,Marbau Selatan
12.23.05.2014,4,DESA,Desa,Aek Tapa
12.23.05.2015,4,DESA,Desa,Lobu Rampah
12.23.05.2016,4,DESA,Desa,Bulungihit
12.23.05.2017,4,DESA,Desa,Aek Hitetoras
12.23.05.2018,4,DESA,Desa,Sumber Mulyo
12.23.06,3,KECAMATAN,Kecamatan,Na IX - X
12.23.06.1001,4,KELURAHAN,Kelurahan,Aek Kota Batu
12.23.06.2002,4,DESA,Desa,Pematang
12.23.06.2003,4,DESA,Desa,Batu Tunggal
12.23.06.2004,4,DESA,Desa,Sungai Raja
12.23.06.2005,4,DESA,Desa,Perkebunan Berangir
12.23.06.2006,4,DESA,Desa,Silumajang
12.23.06.2007,4,DESA,Desa,Pulo Jantan
12.23.06.2008,4,DESA,Desa,Kampung Pajak
12.23.06.2009,4,DESA,Desa,Meranti Omas
12.23.06.2010,4,DESA,Desa,Hatapang
12.23.06.2011,4,DESA,Desa,Pasang Lela
12.23.06.2012,4,DESA,Desa,Simpang Marbau
12.23.06.2013,4,DESA,Desa,Bangun Rejo
12.23.07,3,KECAMATAN,Kecamatan,Aek Natas
12.23.07.1001,4,KELURAHAN,Kelurahan,Bandar Durian
12.23.07.2002,4,DESA,Desa,Poldung
12.23.07.2003,4,DESA,Desa,Rombisan
12.23.07.2004,4,DESA,Desa,Sibito
12.23.07.2005,4,DESA,Desa,Simonis
12.23.07.2006,4,DESA,Desa,Perkebunan Aek Pamienke
12.23.07.2007,4,DESA,Desa,Pangkalan
12.23.07.2008,4,DESA,Desa,Adian Torop
12.23.07.2009,4,DESA,Desa,Ujung Padang
12.23.07.2010,4,DESA,Desa,Kampung Yaman
12.23.07.2011,4,DESA,Desa,Terang Bulan
12.23.07.2012,4,DESA,Desa,Perkebunan Halimbe
12.23.08,3,KECAMATAN,Kecamatan,Kualuh Selatan
12.23.08.1001,4,KELURAHAN,Kelurahan,Gunting Saga
12.23.08.2002,4,DESA,Desa,Damuli Pekan
12.23.08.2003,4,DESA,Desa,Siamporik
12.23.08.2004,4,DESA,Desa,Lobu Huala
12.23.08.2005,4,DESA,Desa,Gunung Melayu
12.23.08.2006,4,DESA,Desa,Damuli Kebun
12.23.08.2007,4,DESA,Desa,Hasang
12.23.08.2008,4,DESA,Desa,Bandar Lama
12.23.08.2009,4,DESA,Desa,Sidua Dua
12.23.08.2010,4,DESA,Desa,Simangalam
12.23.08.2011,4,DESA,Desa,Tanjung Pasir
12.23.08.2012,4,DESA,Desa,Sialang Taji
12.24,2,KABUPATEN,Kabupaten,Nias Utara
12.24.01,3,KECAMATAN,Kecamatan,Lotu
12.24.01.2001,4,DESA,Desa,Hilidundra
12.24.01.2002,4,DESA,Desa,Lawira Satua
12.24.01.2003,4,DESA,Desa,Fadoro Fulolo
12.24.01.2004,4,DESA,Desa,Lawira I
12.24.01.2005,4,DESA,Desa,Hiligodu
12.24.01.2006,4,DESA,Desa,Lombuza'ua
12.24.01.2007,4,DESA,Desa,Maziaya
12.24.01.2008,4,DESA,Desa,Baho
12.24.01.2009,4,DESA,Desa,Lolofaoso
12.24.01.2010,4,DESA,Desa,Lawira II
12.24.01.2011,4,DESA,Desa,Dahadano
12.24.01.2012,4,DESA,Desa,Lolomboli
12.24.01.2013,4,DESA,Desa,Hiligeo Afia
12.24.02,3,KECAMATAN,Kecamatan,Sawo
12.24.02.2001,4,DESA,Desa,Seriwa'u
12.24.02.2002,4,DESA,Desa,Ombolata Sawo
12.24.02.2003,4,DESA,Desa,Sanawuyu
12.24.02.2004,4,DESA,Desa,Onozitoli Sawo
12.24.02.2005,4,DESA,Desa,Sifahandro
12.24.02.2006,4,DESA,Desa,Sisarahili Teluk Siabang
12.24.02.2007,4,DESA,Desa,Lasara Sawo
12.24.02.2008,4,DESA,Desa,Sawo
12.24.02.2009,4,DESA,Desa,Hiliduruwa
12.24.02.2010,4,DESA,Desa,Teluk Bengkuang
12.24.03,3,KECAMATAN,Kecamatan,Tuhemberua
12.24.03.2001,4,DESA,Desa,Botolakha
12.24.03.2002,4,DESA,Desa,Siofa Banua
12.24.03.2003,4,DESA,Desa,La'aya
12.24.03.2004,4,DESA,Desa,Alo'oa
12.24.03.2005,4,DESA,Desa,Ladara
12.24.03.2006,4,DESA,Desa,Banua Gea
12.24.03.2007,4,DESA,Desa,Silima Banua
12.24.03.2008,4,DESA,Desa,Fino
12.24.04,3,KECAMATAN,Kecamatan,Sitolu Ori
12.24.04.2001,4,DESA,Desa,Tetehosi Maziaya
12.24.04.2002,4,DESA,Desa,Umbubalodano
12.24.04.2003,4,DESA,Desa,Hilimbosi
12.24.04.2004,4,DESA,Desa,Hilisalo'o
12.24.04.2005,4,DESA,Desa,Fulolo Salo'o
12.24.04.2006,4,DESA,Desa,Botombawo
12.24.05,3,KECAMATAN,Kecamatan,Namohalu Esiwa
12.24.05.2001,4,DESA,Desa,Berua
12.24.05.2002,4,DESA,Desa,Esiwa
12.24.05.2003,4,DESA,Desa,Dahana Hiligodu
12.24.05.2004,4,DESA,Desa,Hilibanua
12.24.05.2005,4,DESA,Desa,Sisarahili
12.24.05.2006,4,DESA,Desa,Sisobahili
12.24.05.2007,4,DESA,Desa,Lasara
12.24.05.2008,4,DESA,Desa,Namohalu
12.24.05.2009,4,DESA,Desa,Tuhenakhe I
12.24.05.2010,4,DESA,Desa,Orahili
12.24.05.2011,4,DESA,Desa,Banua Sibohou
12.24.06,3,KECAMATAN,Kecamatan,Alasa Talumuzoi
12.24.06.2001,4,DESA,Desa,Banua Sibohou III
12.24.06.2002,4,DESA,Desa,Harefanaese
