code	level	localPrefix	name	postCode
11.02.01.2022	4	Gampong	Paye Munje	24661
11.02.01.2023	4	Gampong	Pulo Ndapdap	24661
11.02.01.2024	4	Gampong	Pasir Nunggul	24661
11.02.01.2025	4	Gampong	Cingkham Mekhanggun	24661
11.02.01.2026	4	Gampong	Pintu Khimbe	24661
11.02.01.2027	4	Gampong	Lawe Kongker Hilir	24661
11.02.01.2028	4	Gampong	Pulo Gadung	24661
11.02.01.2029	4	Gampong	Pasikh Pehkmate	24661
11.02.01.2030	4	Gampong	Pasikh Nunang	24661
11.02.01.2031	4	Gampong	Deleng Kukusen	24661
11.02.02	3	Kecamatan	Lawe Sigala-Gala	
11.02.02.2001	4	Gampong	Bukit Merdeka	24673
11.02.02.2002	4	Gampong	Darul Aman	24673
11.02.02.2003	4	Gampong	Lawe Kesumpat	24673
11.02.02.2004	4	Gampong	Lawe Tua Gabungan	24673
11.02.02.2005	4	Gampong	Lawe Sigala II	24673
11.02.02.2006	4	Gampong	Lawe Sigala Timur	24673
11.02.02.2007	4	Gampong	Lawe Sigala Barat	24673
11.02.02.2008	4	Gampong	Suka Damai	24673
11.02.02.2009	4	Gampong	Kute Tengah	24673
11.02.02.2010	4	Gampong	Tanah Baru	24673
11.02.02.2011	4	Gampong	Kedataran Gabungan	24673
11.02.02.2012	4	Gampong	Gabungan Parsaroan	24673
11.02.02.2013	4	Gampong	Lawe Loning Gabungan	24673
11.02.02.2014	4	Gampong	Lawe Loning Aman	24673
11.02.02.2015	4	Gampong	Suka Maju	24673
11.02.02.2016	4	Gampong	Lawe Tua Makmur	24673
11.02.02.2017	4	Gampong	Lawe Tua Persatuan	24673
11.02.02.2018	4	Gampong	Lawe Serke	24673
11.02.02.2019	4	Gampong	Lawe Rakat	24673
11.02.02.2020	4	Gampong	Suka Jaya	24673
11.02.02.2021	4	Gampong	Enmiya Batu Dua Ratus	24673
11.02.02.2022	4	Gampong	Sebungke	24673
11.02.02.2023	4	Gampong	Bukit Sepakat	24673
11.02.02.2024	4	Gampong	Lawe Loning Sepakat	24673
11.02.02.2025	4	Gampong	Lawe Loning I	24673
11.02.02.2026	4	Gampong	Gaya Jaya	24673
11.02.02.2027	4	Gampong	Gelah Musara	24673
11.02.02.2028	4	Gampong	Mulie Dame	24673
11.02.02.2029	4	Gampong	Lawe Loning Hakhapen	24673
11.02.02.2030	4	Gampong	Karya Indah	24673
11.02.02.2031	4	Gampong	Kayu Mbelin	24673
11.02.02.2032	4	Gampong	Lawe Sigala Barat Jaya	24673
11.02.02.2033	4	Gampong	Lawe Pekhidinen	24673
