53	Nusa Tenggara Timur
:17	Pantar Baru Laut
2001	Kayang
2002	Marisa
2003	Lamma
2004	Allumang
2005	Beangonong
2006	Kalondama Barat
2007	Kalondama Tengah
.06	Flores Timur
:01	Wulanggitang
2001	Ojandetun
2002	Hewa
2003	Waiula
2007	Nawokote
2008	Boru
2009	Pululera
2011	Nileknoheng
2012	Hokeng Jaya
2013	Pantai Oa
2014	Boru Kedang
2021	Klatanlo
:02	Titehena
2001	Kobasoma
2002	Lewolaga
2003	Lewoingu
2004	Tuakepa
2005	Tenawahang
2006	Leraboleng
2007	Serinuho
2008	Watowara
2009	Konga
2010	Ile Gerong
2011	Adabang
2012	Dun Tana Lewoingu
2013	Duli Jaya
2014	Bokang Wolomatang
:03	Larantuka
1001	Waibalun
1002	Lewolere
1003	Pantai Besar
1004	Larantuka
1005	Balela
1006	Pohon Sirih
1007	Lohayong
1008	Lokea
1009	Postoh
1010	Amagarapati
1011	Ekasapta
1012	Sarotari
1013	Weri
1014	Pukentobi Wangin Bao
2019	Mokantarak
2020	Lamawalang
1021	Waihali
1022	Pohon Bao
1023	Sarotari Tengah
1024	Sarotari Timur
:04	Ile Mandiri
2001	Wailolong
2002	Lewoloba
2003	Tiwatobi
2004	Watotutu
2005	Riangkemie
2006	Lewohala
2007	Halakodanuan
2008	Mudakaputu
:05	Tanjung Bunga
2006	Lewobunga
2007	Sinamalaka
2008	Ratulodong
2009	Sinarhadigala
2010	Bahinga
2011	Waibao
2012	Lamatutu
2013	Latonliwo
2015	Kolaka
2016	Bandona
2017	Nusa Nipa
2018	Patisira Walang
2020	Gekengderan
2021	Aransina
2022	Latonliwo Dua
2023	Lamanabi
:06	Solor Barat
1001	Ritaebang
2002	Tanah Lein
2003	Lamaole
2004	Kalelu
2005	Nusadani
2007	Balaweling II
2008	Balaweling I
2009	Pamakayo
2012	Ongalereng
2013	Karawatung
2014	Lamawalang
2015	Daniwato
2017	Lewotanah Ole
2019	Titehena
2020	Lewonama
:07	Solor Timur
2002	Watanhura
2003	Lebao
2004	Watohari
2005	Motonwutun
2006	Watobuku
2007	Labelen
2008	Menanga
2009	Lohayong I
2010	Wulublolong
2011	Liwo
2012	Tanah Werang
2013	Lewohedo
2014	Lohayong II
2016	Watanhura II
