2001	Tapakih
2002	Ulakan
2003	Padang Toboh Ulakan
2004	Sungai Gimba Ulakan
2005	Seulayat Ulakan
2006	Manggopoh Palak Gadang Ulakan
2007	Sandi Ulakan
2008	Kampuang Gelapuang Ulakan
:11	Sintuak Toboh Gadang
2001	Sintuak
2002	Toboh Gadang
2003	Toboh Gadang Selatan
2004	Toboh Gadang Barat
2005	Toboh Gadang Timur
:12	Padang Sago
2001	Koto Baru
2002	Koto Dalam
2003	Batu Kalang
2004	Koto Dalam Barat
2005	Koto Dalam Selatan
2006	Batu Kalang Utara
:13	Batang Gasan
2001	Malai V Suku
2002	Gasan Gadang
2003	Malai V Suku Timur
:14	V Koto Timur
2001	Kudu Gantiang
2002	Limau Puruik
2003	Gunung Padang Alai
2004	Kudu Gantiang Barat
:15	2 x 11 Kayu Tanam
2001	Kayu Tanam
2002	Guguak
2003	Anduriang
2004	Kapalo Hilalang
:16	Patamuan
2001	Sungai Durian
2002	Tandikek
2003	Tandikek Utara
2004	Tandikek Selatan
2005	Tandikek Barat
2006	Kampuang Tanjuang Koto Mambang Sungai
:17	Enam Lingkung
2001	Pakandangan
2002	Koto Tinggi
2003	Toboh Ketek
2004	Parit Malintang
2005	Gadur
.06	Agam
:01	Tanjung Mutiara
2001	Tiku Selatan
2002	Tiku Utara
2003	Tiku Limo Jorong
:02	Lubuk Basung
2001	Lubuk Basung
2002	Geragahan
2003	Kampung Pinang
2004	Kampung Tangah
2005	Manggopoh
:03	Tanjung Raya
2001	Tanjung Sani
2002	Sungai Batang
2003	Maninjau
2004	Bayua
2006	Koto Kaciak
2007	Duo Koto
2008	Koto Gadang
2009	Koto Malintang
2010	Paninjauan
:04	Matur
2001	Matua Hilia
2002	Matua Mudiak
2003	Tigo Balai
2004	Lawang
2005	Parik Panjang
2006	Panta Pauh
:05	IV Koto
2002	Sungai Landia
2003	Balingka
2004	Koto Tuo
2005	Guguk Tabek Sarajo
2006	Koto Panjang
2007	Sianok Anam Suku
2008	Koto Gadang
:06	Banuhampu
2001	Padang Lua
2002	Taluak Ampek Suku
2003	Pakan Sinayan
2004	Kubang Putiah
2005	Ladang Laweh
2006	Cingkariang
2007	Sungai Tanang
:07	Ampek Angkek
2001	Batu Taba
2002	Biaro Gadang
2003	Lambah
2004	Panampung
2005	Ampang Gadang
2006	Pasia
2008	Balai Gurah
:08	Baso
2001	Koto Tinggi
2002	Tabek Panjang
2004	Simarasok
2005	Padang Tarok
2006	Salo
2007	Koto Baru
:09	Tilatang Kamang
2001	Koto Tangah
2003	Gadut
2004	Kapau
:10	Palupuh
2001	Koto Rantang
2002	Pasia Laweh
2003	Pagadih
2004	Nan Tujuah
:11	Pelembayan
2001	Baringin
2002	Sipinang
2003	Sungai Puar
2004	Ampek Koto Palembayan
2005	Tigo Koto Silungkang
2006	Salareh Aia
:12	Sungai Pua
2001	Padang Laweh
2002	Sungai Pua
2003	Batagak
2004	Batu Palano
2005	Sariak
:13	Ampek Nagari
2001	Batu Kambing
2002	Sitalang
2003	Bawan
2004	Sitanang
:14	Candung
2001	Canduang Koto Laweh
2002	Lasi
2003	Bukik Batabuah
:15	Kamang Magek
2001	Magek
2002	Kamang Hilia
2003	Kamang Mudiak
:16	Malalak
2001	Malalak Utara
2002	Malalak Timur
2003	Malalak Selatan
2004	Malalak Barat
.07	Lima Puluh Kota
:01	Suliki
2001	Kurai
2002	Sungai Rimbang
2003	Tanjuang Bungo
2004	Suliki
2005	Limbanang
2006	Andiang
:02	Guguak
2001	Guguak VIII Koto
2002	VII Koto Talago
2003	Sungai Talang
2004	Kubang
2005	Simpang Sugiran
:03	Payakumbuh
2001	Koto Baru Simalanggang
2002	Taeh Bukik
2003	Simalanggang
2004	Sungai Beringin
2005	Piobang
2006	Taeh Baruah
2007	Koto Tangah Simalanggang
:04	Luak
2001	Tj. Haro Sikabu-kabu Pd. Panjang
2002	Mungo
2003	Sungai Kamuyang
2004	Andaleh
:05	Harau
2001	Taram
2002	Solok Bio Bio
2003	Tarantang
2004	Bukik Limbuku
2005	Harau
2006	Batu Balang
2007	Sarilamak
2008	Gurun
2009	Lubuak Batingkok
2010	Koto Tuo
2011	Pilubang
:06	Pangkalan Koto Baru
2001	Manggilang
2002	Tanjuang Balik
2003	Gunuang Malintang
2004	Pangkalan
2005	Koto Alam
2006	Tanjung Pauh
:07	Kapur IX
2001	Muaro Paiti
2002	Koto Bangun
2003	Lubuak Alai
2004	Koto Lamo
2005	Durian Tinggi
2006	Sialang
2007	Galugua
:08	Gunuang Omeh
2001	Pandam Gadang
2002	Koto Tinggi
2003	Talang Anau
:09	Lareh Sago Halaban
2001	Labuah Gunuang
2002	Batu Payuang
2003	Ampalu
2004	Bukik Sikumpa
2005	Balai Panjang
2006	Halaban
2007	Tanjuang Gadang
2008	Sitanang
:10	Situjuah Limo Nagari
2001	Situjuah Batua
2002	Situjuah Ladang Laweh
2003	Tungka
2004	Situjuah Banda Dalam
2005	Situjuah Gadang
:11	Mungka
2001	Jopang Manganti
2002	Simpang Kapuak
2003	Mungka
2004	Talang Maur
2005	Sungai Antuan
:12	Bukik Barisan
2001	Maek
2002	Banja Loweh
2003	Baruah Gunuang
2004	Sungai Naniang
2005	Koto Tangah
:13	Akabiluru
2001	Sariak Laweh
2002	Koto Tangah Batu Ampa
2003	Batuhampar
2004	Suayan
2005	Sungai Balantiak
2006	Pauh Sangik
2007	Durian Gadang
.08	Pasaman
:04	Bonjol
2001	Limo Koto
2002	Koto Kaciak
2003	Ganggo Mudiak
2004	Ganggo Hilia
:05	Lubuk Sikaping
2001	Tanjuang Baringin
2002	Jambak
2003	Durian Tinggi
2004	Pauah
2005	Aia Manggih
2006	Sundata
:07	Panti
2001	Panti
2003	Panti Timur
2004	Panti Selatan
:08	Mapat Tunggul
2001	Muara Tais
2002	Lubuak Gadang
2005	Pintu Padang
:12	Duo Koto
2001	Simpang Tonang
2002	Cubadak
:13	Tigo Nagari
2001	Malampah
2002	Ladang Panjang
2003	Binjai
:14	Rao
2002	Taruang Taruang
2005	Padang Mantinggi
:15	Mapat Tunggul Selatan
2001	Silayang
2002	Muaro Sungai Lolo
:16	Simpang Alahan Mati
2001	Alahan Mati
2002	Simpang
:17	Padang Gelugur
2001	Padang Gelugur
2002	Sontang Cubadak
2003	Sitombol Padang Gelugua
2004	Bahagia Padang Gelugua
:18	Rao Utara
2001	Koto Nopan
2002	Koto Rajo
2003	Languang
:19	Rao Selatan
2001	Lansek Kadok
2002	Lubuak Layang
2003	Tanjung Betung
.09	Kepulauan Mentawai
:01	Pagai Utara
2007	Betumonga
2008	Silabu
2009	Saumanganya
:02	Sipora Selatan
2001	Bosua
2002	Beriulou
2003	Nemnemleleu
2004	Mara
2006	Sioban
2007	Matobe
2008	Saureinu
:03	Siberut Selatan
2002	Muara Siberut
2003	Maileppet
2004	Muntei
2005	Matotonan
2007	Madobag
:04	Siberut Utara
2003	Bojakan
2004	Sotboyak
2005	Mongan Poula
2006	Muara Sikabaluan
2007	Sirilogui
2008	Malancan
:05	Siberut Barat
2001	Simatalu
2002	Simalegi
2003	Sigapokna
:06	Siberut Barat Daya
2001	Katurei
2002	Sagulubbeg
2003	Pasakiat Taileleu
:07	Siberut Tengah
2001	Saibi Samukop
2002	Cimpungan
2003	Saliguma
:08	Sipora Utara
2001	Betumonga
2002	Goisooinan
2003	Tuapejat
2004	Sido Makmur
2005	Bukit Pamewa
2006	Sipora Jaya
:09	Sikakap
2001	Sikakap
2002	Taikako
2003	Matobe
:10	Pagai Selatan
2001	Sinaka
2002	Bulasat
2003	Malakopa
2004	Makalo
.10	Dharmasraya
:01	Koto Baru
2002	Koto Baru
2003	Sialang Gaung
2005	Ampang Kuranji
2008	Koto Padang
:02	Pulau Punjung
2001	Sungai Dareh
2002	Tebing Tinggi
2006	Empat Koto Pulau Punjung
2007	Sungai Kambut
2008	Gunung Selasih
2009	Sikabau
:03	Sungai Rumbai
2003	Sungai Rumbai
2004	Kurnia Koto Salak
2007	Sungai Rumbai Timur
2008	Kurnia Selatan
:04	Sitiung
2001	Sitiung
2002	Siguntur
2004	Gunung Medan
2005	Sungai Duo
:05	Sembilan Koto
2001	Silago
2002	Lubuak Karak
2003	Koto Nan Empat Dibawuh
2004	Banai
:06	Timpeh
2001	Timpeh
2002	Taratak Tinggi
2003	Tabek
2004	Panyubarangan
2005	Ranah Palabi
:07	Koto Salak
2001	Koto Salak
2002	Ampalu
2003	Padukuan
2004	Pulau Mainan
2005	Simalidu
:08	Tiumang
2001	Tiumang
2002	Sungai Langkok
2003	Koto Beringin
2004	Sipangkur
:09	Padang Laweh
2001	Padang Laweh
2002	Batu Rijal
2003	Muaro Sopan
2004	Sopan Jaya
:10	Asam Jujuhan
2001	Sungai Limau
2002	Alahan Nan Tigo
2003	Lubuk Besar
2004	Tanjung Alam
2005	Sinamar
:11	Koto Besar
2001	Koto Besar
2002	Koto Tinggi
2003	Koto Gadang
2004	Bonjol
2005	Abai Siat
2006	Koto Laweh
2007	Koto Ranah
.11	Solok Selatan
:01	Sangir
2001	Lubuk Gadang
2002	Lubuk Gadang Timur
2003	Lubuk Gadang Selatan
2004	Lubuk Gadang Utara
:02	Sungai Pagu
2001	Pasir Talang
2002	Koto Baru
2004	Sako Pasia Talang
2005	Pasar Muara Labuh
2006	Pulakek Koto Baru
2007	Bomas
2008	Sako Utara Pasia Talang
2009	Sako Selatan Pasia Talang
2010	Pasir Talang Barat
2011	Pasir Talang Timur
2012	Pasir Talang Selatan
:03	Koto Parik Gadang Diateh
2001	Pakan Rabaa
2002	Pakan Rabaa Timur
2003	Pakan Rabaa Utara
2004	Pakan Rabaa Tengah
:04	Sangir Jujuan
2001	Lubuk Malako
2002	Bidar Alam
2004	Padang Air Dingin
2005	Padang Limau Sundai
2006	Padang Gantiang
:05	Sangir Batang Hari
2001	Abai
2002	Dusun Tangah
2003	Lubuk Ulang Aling
2004	Ranah Pantai Cermin
2005	Sitapus
2006	Lubuk Ulang Aling Selatan
2007	Lubuk Ulang Aling Tengah
:06	Pauh Duo
2001	Alam Pauh Duo
2002	Kapau Alam Pauh Duo
2003	Luak Kapau Alam Pauh Duo
2004	Pauh Duo Nan Batigo
:07	Sangir Balai Janggo
2001	Sungai Kunyit
2002	Talao Sungai Kunyit
2003	Sungai Kunyit Barat
2004	Talunan Maju
.12	Pasaman Barat
:01	Sungaiberemas
2001	Aia Bangih
:02	Lembah Melintang
2001	Ujung Gading
:03	Pasaman
2003	Lingkuang Aua
2004	Aua Kuniang
2006	Aia Gadang
:04	Talamau
2001	Kajai
2002	Talu
2003	Sinuruik
:05	Kinali
2001	Kinali
2002	Katiagan
:06	Gunungtuleh
2001	Muaro Kiawai
2002	Rabi Jonggor
:07	Ranah Batahan
2001	Batahan
2002	Desa Baru
:08	Koto Balingka
2001	Parit
:09	Sungaiaur
2001	Sungai Aua
:10	Luhak Nan Duo
2001	Koto Baru
2002	Kapa
:11	Sasak Ranah Pesisir
2001	Sasak
.71	Padang
:01	Padang Selatan
1001	Belakang Pondok
1002	Alang Laweh
1003	Ranah Parak Rumbio
1004	Pasa Gadang
1005	Batang Arau
1006	Seberang Palinggam
1007	Seberang Padang
1008	Mata Air
1009	Rawang
1010	Teluk Bayur
1011	Air Manis
1012	Bukit Gado-gado
:02	Padang Timur
1001	Sawahan
1002	Jati Baru
1003	Jati
1004	Sawahan Timur
1005	Simpang Haru
1006	Kubu Marapalam
1007	Andalas
1008	Kubu Dalam Parak Karakah
1009	Parak Gadang Timur
1010	Ganting Parak Gadang
:03	Padang Barat
1001	Flamboyan Baru
1002	Rimbo Kaluang
1003	Ujung Gurun
1004	Purus
1005	Padang Pasir
1006	Olo
1007	Kampung Jao
1008	Belakang Tangsi
1009	Kampung Pondok
1010	Berok Nipah
:04	Padang Utara
1001	Air Tawar Timur
